ticker,company_name,sector,industry,current_price,market_cap,trailing_pe,forward_pe,eps_current_year,forward_eps,earnings_growth_decimal,revenue_growth_decimal,peg_ratio_raw,peg_ratio_fallback,peg_ratio_final,sec_filings_url
MMM,3M,Industrials,Industrial Conglomerates,152.2,83294183424.0,21.286713,,7.15,,,,,,,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=MMM
AOS,A. O. Smith,Industrials,Building Products,67.3,9758164992.0,18.539946,,3.63,,,,,,,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=AOS
ABT,Abbott Laboratories,Health Care,Health Care Equipment,127.93,221889478656.0,16.744764,,7.64,,,,,,,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=ABT
ABBV,AbbVie,Health Care,Biotechnology,183.9,324977033216.0,64.3007,,2.86,,,,,,,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=ABBV
ACN,Accenture,Information Technology,IT Consulting & Other Services,384.95,240778526720.0,32.294464,,11.92,,,,,,,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=ACN
ADBE,Adobe Inc.,Information Technology,Application Software,437.45,190421991424.0,35.42105,,12.35,,,,,,,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=ADBE
AMD,Advanced Micro Devices,Information Technology,Semiconductors,115.95,192886292480.0,105.40909,,1.1,,,,,,,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=AMD
AES,AES Corporation,Utilities,Independent Power Producers & Energy Traders,11.0,7821297152.0,7.6388884,,1.44,,,,,,,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=AES
AFL,Aflac,Financials,Life & Health Insurance,107.38,59652595712.0,15.955423,,6.73,,,,,,,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=AFL
A,Agilent Technologies,Health Care,Life Sciences Tools & Services,151.52,43273355264.0,34.126125,,,,,,,,,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=A
APD,Air Products,Materials,Industrial Gases,335.26,74554785792.0,19.469223,,17.22,,,,,,,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=APD
ABNB,Airbnb,Consumer Discretionary,"Hotels, Resorts & Cruise Lines",131.17,81951334400.0,45.387543,,2.89,,,,,,,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=ABNB
AKAM,Akamai Technologies,Information Technology,Internet Services & Infrastructure,99.9,15007678464.0,29.556213,,3.38,,,,,,,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=AKAM
ALB,Albemarle Corporation,Materials,Specialty Chemicals,84.19,9895693312.0,,,-16.76,,,,,,,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=ALB
ARE,Alexandria Real Estate Equities,Real Estate,Office REITs,97.35,16850505728.0,54.083332,,1.8,,,,,,,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=ARE
ALGN,Align Technology,Health Care,Health Care Supplies,219.11,16357241856.0,37.390785,,5.86,,,,,,,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=ALGN
ALLE,Allegion,Industrials,Building Products,132.73,11538124800.0,20.42,,6.5,,,,,,,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=ALLE
LNT,Alliant Energy,Utilities,Electric Utilities,58.88,15108549632.0,22.910507,,2.57,,,,,,,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=LNT
ALL,Allstate,Financials,Property & Casualty Insurance,192.33,50929561600.0,12.432449,,15.47,,,,,,,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=ALL
GOOGL,Alphabet Inc. (Class A),Communication Services,Interactive Media & Services,204.02,2507303813120.0,27.09429,,7.53,,,,,,,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=GOOGL
GOOG,Alphabet Inc. (Class C),Communication Services,Interactive Media & Services,205.6,2504763113472.0,27.267906,,7.54,,,,,,,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=GOOG
MO,Altria,Consumer Staples,Tobacco,52.23,88302649344.0,7.8778276,,6.63,,,,,,,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=MO
AMZN,Amazon,Consumer Discretionary,Broadline Retail,237.68,2499205136384.0,50.24947,,4.73,,,,,,,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=AMZN
AMCR,Amcor,Materials,Paper & Plastic Packaging Products & Materials,9.72,14092055552.0,18.339624,,0.53,,,,,,,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=AMCR
AMTM,Amentum,,Diversified Support Services,20.97,5102042624.0,,,-0.94,,,,,,,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=AMTM
AEE,Ameren,Utilities,Multi-Utilities,94.2,25144616960.0,22.164705,,4.25,,,,,,,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=AEE
AEP,American Electric Power,Utilities,Electric Utilities,98.36,52383092736.0,19.830645,,4.96,,,,,,,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=AEP
AXP,American Express,Financials,Consumer Finance,317.45,223902892032.0,22.772598,,13.94,,,,,,,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=AXP
AIG,American International Group,Financials,Multi-line Insurance,73.66,45946826752.0,14.644135,,5.03,,,,,,,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=AIG
AMT,American Tower,Real Estate,Telecom Tower REITs,184.95,86425100288.0,44.673912,,4.14,,,,,,,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=AMT
AWK,American Water Works,Utilities,Water Utilities,124.64,24291588096.0,24.681187,,5.05,,,,,,,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=AWK
AMP,Ameriprise Financial,Financials,Asset Management & Custody Banks,543.36,52271230976.0,21.795425,,24.93,,,,,,,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=AMP
AME,Ametek,Industrials,Electrical Components & Equipment,184.56,42690203648.0,32.09739,,5.75,,,,,,,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=AME
AMGN,Amgen,Health Care,Biotechnology,285.42,153422675968.0,36.220814,,7.88,,,,,,,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=AMGN
APH,Amphenol,Information Technology,Electronic Components,70.78,85333073920.0,36.864582,,1.92,,,,,,,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=APH
ADI,Analog Devices,Information Technology,Semiconductors,211.89,105128370176.0,64.798164,,3.27,,,,,,,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=ADI
ANSS,Ansys,,Application Software,350.5,30651224064.0,53.923077,,6.5,,,,,,,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=ANSS
AON,Aon,Financials,Insurance Brokers,370.82,80195756032.0,31.72113,,11.69,,,,,,,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=AON
APA,APA Corporation,Energy,Oil & Gas Exploration & Production,21.93,8112937984.0,3.115057,,7.04,,,,,,,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=APA
AAPL,Apple Inc.,Information Technology,"Technology Hardware, Storage & Peripherals",236.0,3572851277824.0,37.76,,6.25,,,,,,,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=AAPL
AMAT,Applied Materials,Information Technology,Semiconductor Materials & Equipment,180.35,147683934208.0,21.093567,,8.55,,,,,,,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=AMAT
APTV,Aptiv,Consumer Discretionary,Automotive Parts & Equipment,62.42,14786111488.0,7.0056114,,8.91,,,,,,,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=APTV
